name,Latitude,Longitude
Shin-Matsudo Post Office,35.82738,139.91564
緑郵便局,35.55898,140.17581
Imai Post Office,35.58269,140.12628
中央豊海郵便局,35.65405,139.77033
,35.55255,140.18602
,35.55363,140.19049
市津郵便局,35.51521,140.17641
柴崎駅前郵便局,35.65368,139.56665
,35.63205,139.34678
越谷せんげん台郵便局,35.93494,139.76916
調布郵便局,35.65304,139.55831
狛江郵便局,35.64178,139.57497
杉並西永福郵便局,35.68000,139.63554
北加瀬郵便局,35.55472,139.66134
二子玉川郵便局 (Futakotamagawa Post Office),35.61593,139.62539
松戸栄郵便局,35.80753,139.90642
東京芝浦郵便局,35.64345,139.74688
調布駅前郵便局,35.65438,139.54338
小石川郵便局,35.71355,139.74210
厚木旭郵便局,35.43914,139.36699
杉並和泉二郵便局,35.67457,139.65148
早稲田大学前,35.70822,139.72193
調布仙川郵便局,35.66159,139.58622
成城郵便局,35.64815,139.59332
横浜山下町郵便局,35.44261,139.64777
厚木郵便局,35.43882,139.35775
川崎生田郵便局,35.61510,139.52749
千歳船橋駅前郵便局,35.64864,139.62410
世田谷八幡山郵便局,35.66101,139.62036
町田西郵便局,35.59995,139.36066
海老名中新田郵便局,35.43833,139.38428
杉並永福郵便局,35.67467,139.64301
世田谷北烏山郵便局,35.67688,139.59899
杉並浜田山郵便局,35.68472,139.62660
世田谷北烏山八郵便局,35.67629,139.59190
杉並西荻窪北郵便局,35.70810,139.59316
吉祥寺南町郵便局,35.70295,139.58858
常盤平駅前郵便局,35.80454,139.95080
三鷹郵便局 (Mitaka Post Office),35.68346,139.56049
成城学園前郵便局,35.64090,139.59970
川崎三田郵便局,35.61120,139.54389
登戸駅前郵便局,35.62003,139.56857
三鷹台郵便局,35.69044,139.58713
松戸東口郵便局,35.78566,139.90255
中野南台郵便局,35.68267,139.66459
座間郵便局,35.50986,139.41670
柿生郵便局,35.58943,139.49805
世田谷上祖師谷二郵便局,35.65762,139.59942
世田谷北沢郵便局,35.66426,139.66548
狛江岩戸南郵便局,35.62902,139.58497
祖師ヶ谷大蔵駅前郵便局,35.64319,139.60695
世田谷桜丘二郵便局,35.64410,139.62605
渋谷神南郵便局,35.66199,139.70057
座間駅前郵便局,35.47865,139.40252
川崎栗平郵便局,35.60719,139.48083
渋谷上原郵便局,35.66969,139.68239
松戸北郵便局,35.81861,139.94430
百合ヶ丘駅前郵便局,35.60752,139.51528
恵比寿郵便局,35.64568,139.71670
目黒駒場郵便局,35.65776,139.68647
千代田岩本町郵便局,35.69386,139.77719
三鷹中原四郵便局,35.66504,139.56872
調布仙川二郵便局,35.66428,139.58318
白子南郵便局,35.77343,139.62211
世田谷梅丘郵便局,35.65151,139.65770
三鷹深大寺郵便局,35.69022,139.53817
調布染地郵便局,35.64048,139.55989
中野中央一郵便局,35.70127,139.68322
豊島郵便局,35.72934,139.72147
北柏駅前郵便局,35.87514,139.98770
小平天神郵便局,35.72786,139.49242
小平花小金井第五郵便局,35.73584,139.50633
品川二葉郵便局,35.60497,139.72563
品川区役所前郵便局,35.60789,139.72957
飯田橋郵便局,35.69913,139.74368
葛飾郵便局,35.73595,139.83972
川越郵便局,35.92174,139.48589
葛飾四つ木局,35.73634,139.83305
渋谷三郵便局,35.65604,139.70458
上小田中郵便局 (Kami-kodanaka Post Office),35.58020,139.64256
調布西つつじヶ丘局,35.65890,139.57009
恵比寿駅前郵便局,35.64640,139.70810
